"Date & Time","Rack Temperature","CO","NO","NO2","NOx","SO2","PM10"
"2013-01-29 00:00:00","26.5","0.1","0.6","9","9.6","5.5","22"
"2013-01-29 00:05:00","26.5","0.1","0.7","9.6","10.2","6.9","22"
"2013-01-29 00:10:00","26.5","0.1","1.3","15.7","16.9","6.1","22"
"2013-01-29 00:15:00","26.4","0.1","1.1","16","17.1","5.8","22"
"2013-01-29 00:20:00","26.4","0.11","0.9","13.4","14.2","6.6","22"
"2013-01-29 00:25:00","26.3","0.12","0.8","11.7","12.4","6.6","22"
"2013-01-29 00:30:00","26.3","0.09","1","12.9","13.8","7.1","22"
"2013-01-29 00:35:00","26.3","0.11","0.6","11","11.5","8.9","22"
"2013-01-29 00:40:00","26.3","0.11","0.9","11.2","12","11.3","22"
"2013-01-29 00:45:00","26.3","0.11","0.7","11.1","11.7","13.5","22"
"2013-01-29 00:50:00","26.3","0.1","0.8","11.3","12.1","14.6","22"
"2013-01-29 00:55:00","26.4","0.11","1","11.3","12.2","14.2","22"
"2013-01-29 01:00:00","26.3","0.1","0.9","13.4","14.3","12.6","21"
"2013-01-29 01:05:00","26.3","0.11","1.6","18.7","20.2","10.4","21"
"2013-01-29 01:10:00","26.3","0.11","0.9","16.4","17.3","9.5","21"
"2013-01-29 01:15:00","26.3","0.11","0.7","12.6","13.2","9.5","21"
"2013-01-29 01:20:00","26.3","0.12","0.8","10","10.7","9.699999999999999","21"
"2013-01-29 01:25:00","26.3","0.09","0.9","8.6","9.300000000000001","9.300000000000001","21"
"2013-01-29 01:30:00","26.2","0.11","0.7","8.800000000000001","9.5","9.5","21"
"2013-01-29 01:35:00","26.3","0.1","1.2","16.8","17.9","7.9","21"
"2013-01-29 01:40:00","26.2","0.1","1.9","25.5","27.3","6.9","21"
"2013-01-29 01:45:00","26.2","0.11","1.9","27.8","29.6","6.9","21"
"2013-01-29 01:50:00","26.2","0.11","1.9","25.9","27.8","7.2","21"
"2013-01-29 01:55:00","26.2","0.11","3.1","26.9","29.9","7.6","21"
"2013-01-29 02:00:00","26.2","0.11","1.3","16.8","18","9.1","17"
"2013-01-29 02:05:00","26.2","0.11","0.9","9","9.800000000000001","9.800000000000001","17"
"2013-01-29 02:10:00","26.2","0.11","1.2","11.1","12.3","10.4","17"
"2013-01-29 02:15:00","26.2","0.1","0.6","9.9","10.5","10.8","17"
"2013-01-29 02:20:00","26.2","0.1","0.6","6.9","7.5","14.4","17"
"2013-01-29 02:25:00","26.2","0.1","0.7","6.6","7.3","12.8","17"
"2013-01-29 02:30:00","26.2","0.1","0.7","10.1","10.8","19.3","17"
"2013-01-29 02:35:00","26.2","0.1","1.8","20.5","22.2","13.7","17"
"2013-01-29 02:40:00","26.1","0.11","2","23.9","25.7","6.9","17"
"2013-01-29 02:45:00","26.1","0.11","1.8","21.3","23","6.3","17"
"2013-01-29 02:50:00","26.1","0.12","1.8","19.4","21.2","6.4","17"
"2013-01-29 02:55:00","26.1","0.12","2","20.4","22.4","6.6","17"
"2013-01-29 03:00:00","26.1","0.11","2","20.9","22.8","6.4","18"
"2013-01-29 03:05:00","26","0.11","1.7","16.6","18.3","5.2","18"
"2013-01-29 03:10:00","26.1","0.11","1.5","15.4","16.8","4.5","18"
"2013-01-29 03:15:00","26","0.11","1.3","13.6","14.9","5.4","18"
"2013-01-29 03:20:00","26","0.13","1.4","13.1","14.4","5.8","18"
"2013-01-29 03:25:00","26","0.1","1.1","13","14.1","5","18"
"2013-01-29 03:30:00","26","0.1","1.2","13.2","14.3","6.9","18"
"2013-01-29 03:35:00","26","0.11","2.9","19.2","22","5.9","18"
"2013-01-29 03:40:00","26","0.11","4.2","21.2","25.3","5.4","18"
"2013-01-29 03:45:00","26.1","0.12","2.4","19.3","21.6","6","18"
"2013-01-29 03:50:00","26","0.11","2","17.8","19.8","7.4","18"
"2013-01-29 03:55:00","26","0.12","2.2","18.4","20.5","7.6","18"
"2013-01-29 04:00:00","26","0.12","4.3","20.4","24.7","7.1","24"
"2013-01-29 04:05:00","26","0.11","3.3","19","22.2","6.8","24"
"2013-01-29 04:10:00","26.1","0.1","2.4","17.3","19.6","6.3","24"
"2013-01-29 04:15:00","26","0.11","2.6","18","20.6","5.6","24"
"2013-01-29 04:20:00","26","0.11","2","15.7","17.7","6.3","24"
"2013-01-29 04:25:00","25.9","0.11","17.7","26.3","44","6.6","24"
"2013-01-29 04:30:00","26","0.12","10.2","22.3","32.4","6.5","24"
"2013-01-29 04:35:00","26","0.11","6.7","19.7","26.3","6.9","24"
