"raigarh_Rack Temperature_°C","raigarh_CO_mg/m3","raigarh_NO_µg/m3","raigarh_NO2_µg/m3","raigarh_NOx_µg/m3","raigarh_SO2_µg/m3","raigarh_PM10_µg/m³","station1_Rack Temperature_°C","station1_CO_mg/m3","station1_Ozone(O3)_PPB","station1_NO_µg/m3","station1_NO2_µg/m3","station1_NOx_µg/m3","station1_SO2_µg/m3","station1_H2S_PPB","station1_PM2.5_µg/m³","station1_PM10_µg/m³","station1_Benzene_PPB","station1_Toluene_PPB","station1_M Captan_PPB","station1_E Captan_PPB","station1_D Sulphide_PPB","station1_D Disulphide_ppb","station1_Amb. Temperature_°C","station1_Relative Humidity_%","station1_Wind Direction_°","station1_Wind Speed_Mtr/sec","station1_Solar Radiation_W/m²","station1_Rain Fall_mm","station1_Barometric Pressure_mmHg","station2_CO_mg/m3","station2_Ozone(O3)_PPB","station2_NO_µg/m3","station2_NO2_µg/m3","station2_NOx_µg/m3","station2_SO2_µg/m3","station2_H2S_PPB","station2_PM2.5_µg/m³","station2_PM10_µg/m³","station2_Benzene_PPB","station2_Toluene_PPB","station2_M captan_PPB","station2_e captan_PPB","station2_D Sulphide_PPB","station2_D Disulphide_PPB","station3_Rack Temperature_°C","station3_CO_mg/m3","station3_Ozone(O3)_PPB","station3_NO_µg/m3","station3_NO2_µg/m3","station3_NOx_µg/m3","station3_SO2_µg/m3","station3_H2S_PPB","station3_PM2.5_µg/m³","station3_PM10_µg/m³","station3_Benzene_PPB","station3_Toluene_PPB","station3_M mercaptan_PPB","station3_E mercaptan_PPB","station3_Dimethyl Sulphide_PPB","station3_Dimethyl disulphode_PPB","station3_Ambient Temperature_0C","station3_Relative Humidity_%","station3_Wind Speed_m/s","station3_Wind Direction_Deg","station3_Solar Radiation_W/m2","station3_Rain Fall_mm","station3_Barometric Pressure_mmHg"
"25.2","0.38","1.4","35.38","87.5","130.41","2","5.12","49","128","0.1","2.09","0","0","0","0.05","22.2","63.6","-23","0.2","71","0","755","23.9","1.24","-0.1","45.43","38.82","99.79000000000001","2.06","1.05","68","235","0.65","0","0","0.55","0.09","0.77","25.2","67.7","1","157","83","0","758","","","","","","","","","","","","","","","","","","","","","",""
"24.7","0.46","1.3","34.17","87.09","128.33","3.26","19.08","59","221","0.11","2.22","0","0.31","0","0.1","22.4","63.8","331","0.2","72","0","755","23.6","0.9","-0.4","42.48","43.75","100.17","2.17","0.2","58","167","0.58","0","0","0.52","0.05","0.9","24.2","70.40000000000001","0.5","251","83","0","758","","","","","","","","","","","","","","","","","","","","","",""
"26","0.6899999999999999","-0.1","32.7","80.31","120.02","2.95","11.61","43","71","0.11","2.09","0","0","0.22","0.2","21.6","63.7","331","0.2","71","0","754","28.4","0.76","0.2","54.94","59.98","132.68","2.8","1","55","179","0.67","0","0","0.42","0.05","1.14","24.4","70.2","0.4","269","83","0","758","","","","","","","","","","","","","","","","","","","","","",""
"25.3","0.75","-0.1","30.42","76.81999999999999","113.59","1.69","9.02","49","90","0.16","1.46","16.91","8.460000000000001","0","0.03","21.2","63.8","331","0.2","71","0","754","28.3","0.78","-1.6","52.8","40.87","112.08","8.41","2.83","61","205","0.58","0","0","0.16","0.02","1.1","23.8","73","0.3","172","83","0","757","","","","","","","","","","","","","","","","","","","","","",""
"26","0.48","0.3","30.15","78.05","114.35","2.06","7.58","35","75","0.1","2.21","25.45","0.09","0.7","0.08","21","63.8","331","0.2","72","0","754","28.2","0.65","0","63.78","52.99","138.92","7.26","3.58","59","187","0.57","0","0","0.12","0.03","1.15","23.8","74.2","0","42","83","0","758","","","","","","","","","","","","","","","","","","","","","",""
"26.1","0.35","1.9","33.1","107.84","145.91","2.35","4.83","42","81","0.11","2.2","0","0","0","0.08","20.8","63.8","331","0.2","71","0","755","28.2","0.66","-0.2","79.59999999999999","57.92","165.56","6.06","2.39","52","192","0.59","0","0","0.13","0.06","1.22","23.8","75.7","0","203","83","0","758","","","","","","","","","","","","","","","","","","","","","",""
"24.7","0.53","0.6","36.98","104.14","148.18","1.43","7.13","35","79","0.09","2.04","0","0","0","0.05","20.9","63.7","254","0.2","72","0","756","28.4","0.85","0.1","66.2","44.37","134.19","8.49","1.32","64","168","0.54","0","0","0.1","0.05","1.15","23.7","77.7","0.1","118","83","0","759","","","","","","","","","","","","","","","","","","","","","",""
"23.9","0.46","-0.2","32.7","97.56999999999999","135.89","2.77","5.95","39","67","0.1","2.06","0","0","0","0.04","20.9","63.8","331","0.2","71","0","757","28.2","0.86","-0.4","85.22","44.16","160.65","3.8","1.59","86","194","0.65","0","0","0.1","0.02","1.1","24.1","75.3","0.5","281","83","0","759","","","","","","","","","","","","","","","","","","","","","",""
"23.5","0.53","1.3","35.38","89.97","132.68","-0.37","4.11","56","90","0.11","2.15","0","0","0","0.03","22.3","63.7","253","0.2","129","0","757","23.9","1.35","-0.3","98.36","50.53","185.03","2.43","0.38","123","276","0.87","0","0","0.08","0.02","0.95","24.4","74.2","0.6","139","107","0","760","","","","","","","","","","","","","","","","","","","","","",""
"23.4","0.6","0.1","31.89","99.62","136.65","1.77","1.74","65","98","0.05","1.72","0.23","0","1.59","0","24.8","63.7","250","0.2","271","0","757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.5","0.54","1.6","25.73","90.38","119.45","2.23","1.73","46","78","0.1","2.1","0","0","0","0.02","26.8","63.7","267","0.9","385","0","758","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24.1","0.53","1.8","21.04","109.89","130.79","2.4","1.23","48","80","0.09","2.07","0","0","0","0.02","27.7","63.7","281","1.4","394","0","757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26.5","0.31","3.2","10.85","87.09","95.45","1.66","1.64","40","99","0.08","2.19","0","0","0","0.02","29","63.7","254","0.2","224","0","756","24.4","0.41","16.7","2.68","48.27","48.2","1.2","-1.95","60","166","0.33","0","0","0.08","0","0.49","30.3","54.1","1.6","105","329","0","759","","","","","","","","","","","","","","","","","","","","","",""
