"Dated","station1_CO_mg/m3","station1_Ozone(O3)_PPB","station1_NO_µg/m3","station1_NO2_µg/m3","station1_NOx_µg/m3","station1_SO2_µg/m3","station1_H2S_PPB","station1_PM2.5_µg/m³","station1_PM10_µg/m³","station1_Benzene_PPB","station1_Toluene_PPB","station1_M Captan_PPB","station1_E Captan_PPB","station1_D Sulphide_PPB","station1_D Disulphide_ppb","station1_Amb. Temperature_°C","station1_Relative Humidity_%","station1_Wind Direction_°","station1_Wind Speed_Mtr/sec","station1_Solar Radiation_W/m²","station1_Rain Fall_mm","station1_Barometric Pressure_mmHg"
"01-01-2013 00:00","0.64","0.4","32.29","103.52","140.81","","","47","90","0.18","3.15","0","0.51","0","0.47","25.9","33.7","117","0.2","71","0","753"
"01-01-2013 01:00","0.24","0.8","28.81","111.94","143.64","-0.23","10.66","985","985","0.17","3.06","0","0","0","0.3","25.7","33.7","126","0.2","71","0","753"
"01-01-2013 02:00","0.51","-0.1","27.74","96.33","127.76","-0.43","18.94","54","98","0","2.79","0","0","0.61","0","25.7","33.6","99","0.2","71","0","752"
"01-01-2013 03:00","0.44","0.2","34.04","83.59999999999999","124.93","-0.54","24.05","68","122","0.15","3.24","0","0","0.24","0.45","25.6","33.6","133","0.2","71","0","752"
"01-01-2013 04:00","0.45","","30.15","74.34999999999999","110.94","0.9399999999999999","22.27","64","109","0.14","3.09","0","0","0.49","0.73","25.6","33.7","161","0.2","71","0","752"
"01-01-2013 05:00","0.46","0.9","29.75","82.37","117.94","0.57","20.02","59","105","0.14","2.93","0","0","0.38","0.7","25.5","33.7","242","0.2","71","0","753"
"01-01-2013 06:00","0.48","1","28.94","84.01000000000001","118.13","","","58","81","0.14","3.03","0","0","0.31","0.51","25.1","33.8","331","0.2","71","0","753"
"01-01-2013 07:00","0.46","1","27.2","85.04000000000001","116.61","2.26","6.82","57","72","0.12","2.28","0","0","0.37","0.1","24.7","33.7","199","0.2","72","0","754"
"01-01-2013 08:00","0.51","0.7","30.28","103.52","137.97","0.63","5.51","74","","0.16","3.1","0","0","0.04","0.14","26.6","33.6","148","0.2","142","0","754"
"01-01-2013 09:00","0.55","1.3","21.17","121.19","141.37","1.66","5.07","80","92","0.18","3.3","0","0","0","0.15","27.6","33.7","187","0.2","228","0","755"
"01-01-2013 10:00","0.49","2.5","15.81","115.64","128.52","1.72","3.87","68","102","0.14","3.21","0","0","0.21","0.08","28.6","33.7","270","0.2","326","0","755"
"01-01-2013 11:00","0.6899999999999999","1.6","14.07","115.85","126.44","2.8","3.07","69","86","0.18","3.31","0","0","0","0.06","30.3","33.7","299","0.2","195","0","754"
"01-01-2013 12:00","0.63","1.7","11.93","116.05","123.42","","","59","102","0.17","3.54","0","0","0","0","31","33.6","236","0.7","190","0","754"
"01-01-2013 13:00","","2.6","","","","","","49","92","0.15","3.47","0","0","0.35","0.04","30.8","33.7","311","0.2","280","0",""
"01-01-2013 14:00","0.84","1.5","12.33","117.28","125.5","3.78","6.05","51","95","0.4","2.44","0","0","0.57","0","31.9","33.6","267","0.2","350","0","752"
"01-01-2013 15:00","0.65","1.7","10.45","110.09","116.05","3.66","4.07","53","78","0.12","3.12","0","0","0","0.04","31.4","33.6","216","0.2","255","0","752"
"01-01-2013 16:00","0.59","1.1","11.93","104.14","112.64","4.03","4.7","46","95","0.13","2.99","0","0","0","0.04","31","33.6","222","0.2","119","0","752"
"01-01-2013 17:00","0.5","3.1","8.039999999999999","98.8","102.25","1.89","3.68","48","985","0.12","2.79","0","0","0","0.04","29.9","33.7","247","0.2","86","0","752"
"01-01-2013 18:00","0.55","1.9","9.779999999999999","103.11","108.68","","","59","120","0.12","2.8","0","0","0","0.03","28.9","33.7","153","0.2","71","0","752"
"01-01-2013 19:00","0.49","2.9","6.3","108.25","108.3","1.77","2.36","52","101","0.11","2.79","0","0","0","0.02","28.6","33.6","36","3.8","71","0","753"
"01-01-2013 20:00","0.41","0.9","9.109999999999999","102.49","106.97","2.37","6.69","61","110","0.11","2.85","0","0","0.35","0.04","27.8","33.8","258","0.2","71","0","753"
"01-01-2013 21:00","0.5600000000000001","1.3","15.95","98.59","113.21","2.12","12.97","62","141","0.13","3.03","0","0","0.27","0.1","27","33.7","137","0.6","71","0","753"
"01-01-2013 22:00","0.19","1.3","18.36","117.9","134.38","1.69","27.7","66","115","0.16","3.17","0","0","0.38","0.38","26.6","33.7","144","0.5","71","0","753"
