"Dated","station1_NO_µg/m3","station1_NO2_µg/m3"
"01-01-2013 00:00","32.29","103.52"
"01-01-2013 01:00","28.81","111.94"
"01-01-2013 02:00","27.74","96.33"
"01-01-2013 03:00","34.04","83.59999999999999"
"01-01-2013 04:00","30.15","74.34999999999999"
"01-01-2013 05:00","29.75","82.37"
"01-01-2013 06:00","28.94","84.01000000000001"
"01-01-2013 07:00","27.2","85.04000000000001"
"01-01-2013 08:00","30.28","103.52"
"01-01-2013 09:00","21.17","121.19"
"01-01-2013 10:00","15.81","115.64"
"01-01-2013 11:00","14.07","115.85"
"01-01-2013 12:00","11.93","116.05"
"01-01-2013 14:00","12.33","117.28"
"01-01-2013 15:00","10.45","110.09"
"01-01-2013 16:00","11.93","104.14"
"01-01-2013 17:00","8.039999999999999","98.8"
"01-01-2013 18:00","9.779999999999999","103.11"
"01-01-2013 19:00","6.3","108.25"
"01-01-2013 20:00","9.109999999999999","102.49"
"01-01-2013 21:00","15.95","98.59"
