"Date & Time","Rack Temperature","CO","Ozone(O3)","NO","NO2","NOx","SO2","H2S","PM2.5","PM10","Benzene","Toluene","M Captan","E Captan","D Sulphide","D Disulphide","Amb. Temperature","Relative Humidity","Wind Direction","Wind Speed","Solar Radiation","Rain Fall","Barometric Pressure"
"2013-01-01 00:00:00","32.8","0.51","0.4","24.1","50.4","74.5","0.98","18.37","47","90","0.18","3.15","0","0.51","0","0.47","25.9","33.7","117","0.2","71","0","753"
"2013-01-01 01:00:00","32.4","0.19","0.8","21.5","54.5","76","-0.08","10.66","985","985","0.17","3.06","0","0","0","0.3","25.7","33.7","126","0.2","71","0","753"
"2013-01-01 02:00:00","29.2","0.41","-0.1","20.7","46.9","67.6","-0.15","18.94","54","98","0","2.79","0","0","0.61","0","25.7","33.6","99","0.2","71","0","752"
"2013-01-01 03:00:00","28.5","0.35","0.2","25.4","40.7","66.1","-0.19","24.05","68","122","0.15","3.24","0","0","0.24","0.45","25.6","33.6","133","0.2","71","0","752"
"2013-01-01 04:00:00","28.6","0.36","0","22.5","36.2","58.7","0.33","22.27","64","109","0.14","3.09","0","0","0.49","0.73","25.6","33.7","161","0.2","71","0","752"
"2013-01-01 05:00:00","29","0.37","0.9","22.2","40.1","62.4","0.2","20.02","59","105","0.14","2.93","0","0","0.38","0.7","25.5","33.7","242","0.2","71","0","753"
"2013-01-01 06:00:00","29.1","0.38","1","21.6","40.9","62.5","0.38","8.61","58","81","0.14","3.03","0","0","0.31","0.51","25.1","33.8","331","0.2","71","0","753"
"2013-01-01 07:00:00","29","0.37","1","20.3","41.4","61.7","0.79","6.82","57","72","0.12","2.28","0","0","0.37","0.1","24.7","33.7","199","0.2","72","0","754"
"2013-01-01 08:00:00","31.9","0.41","0.7","22.6","50.4","73","0.22","5.51","74","144","0.16","3.1","0","0","0.04","0.14","26.6","33.6","148","0.2","142","0","754"
"2013-01-01 09:00:00","32.6","0.44","1.3","15.8","59","74.8","0.58","5.07","80","92","0.18","3.3","0","0","0","0.15","27.6","33.7","187","0.2","228","0","755"
"2013-01-01 10:00:00","33.1","0.39","2.5","11.8","56.3","68","0.6","3.87","68","102","0.14","3.21","0","0","0.21","0.08","28.6","33.7","270","0.2","326","0","755"
"2013-01-01 11:00:00","32.8","0.55","1.6","10.5","56.4","66.9","0.98","3.07","69","86","0.18","3.31","0","0","0","0.06","30.3","33.7","299","0.2","195","0","754"
"2013-01-01 12:00:00","33.2","0.5","1.7","8.9","56.5","65.3","0.54","2.56","59","102","0.17","3.54","0","0","0","0","31","33.6","236","0.7","190","0","754"
"2013-01-01 13:00:00","33.6","40.14","2.6","392.6","-3.2","389.4","397.15","4.05","49","92","0.15","3.47","0","0","0.35","0.04","30.8","33.7","311","0.2","280","0","753"
"2013-01-01 14:00:00","29.7","0.67","1.5","9.2","57.1","66.4","1.32","6.05","51","95","0.4","2.44","0","0","0.57","0","31.9","33.6","267","0.2","350","0","752"
"2013-01-01 15:00:00","28.5","0.52","1.7","7.8","53.6","61.4","1.28","4.07","53","78","0.12","3.12","0","0","0","0.04","31.4","33.6","216","0.2","255","0","752"
"2013-01-01 16:00:00","28.1","0.47","1.1","8.9","50.7","59.6","1.41","4.7","46","95","0.13","2.99","0","0","0","0.04","31","33.6","222","0.2","119","0","752"
"2013-01-01 17:00:00","28.3","0.4","3.1","6","48.1","54.1","0.66","3.68","48","985","0.12","2.79","0","0","0","0.04","29.9","33.7","247","0.2","86","0","752"
"2013-01-01 18:00:00","28.4","0.44","1.9","7.3","50.2","57.5","1.54","2.83","59","120","0.12","2.8","0","0","0","0.03","28.9","33.7","153","0.2","71","0","752"
"2013-01-01 19:00:00","28.8","0.39","2.9","4.7","52.7","57.3","0.62","2.36","52","101","0.11","2.79","0","0","0","0.02","28.6","33.6","36","3.8","71","0","753"
"2013-01-01 20:00:00","31.5","0.33","0.9","6.8","49.9","56.6","0.83","6.69","61","110","0.11","2.85","0","0","0.35","0.04","27.8","33.8","258","0.2","71","0","753"
"2013-01-01 21:00:00","32.8","0.45","1.3","11.9","48","59.9","0.74","12.97","62","141","0.13","3.03","0","0","0.27","0.1","27","33.7","137","0.6","71","0","753"
"2013-01-01 22:00:00","32.2","0.15","1.3","13.7","57.4","71.1","0.59","27.7","66","115","0.16","3.17","0","0","0.38","0.38","26.6","33.7","144","0.5","71","0","753"
"2013-01-01 23:00:00","32.7","0.37","1.1","12.5","51.5","64","0.49","22.93","73","117","0.88","2.48","0","0","0","0.54","26.3","33.7","142","1.6","71","0","754"
